441,Motor vehicle and parts dealers,50349,52288,52348,51531,52200,51798,52004,51472,53184,53450,52710,52835,626169
442,Furniture and home furnishings stores,5302,5346,5566,5595,5586,5678,5696,5655,5762,5779,5768,5746,67479
443,Electronics and appliance stores,6191,6248,6365,6373,6428,6334,6234,6340,6438,6428,6356,6305,76040
444,Building mat. and garden equip. and supplies dealers,14023,14036,14153,14340,14450,14902,14826,14981,14989,15040,15264,14980,175984
445,Food and beverage stores,33085,32928,33076,33174,33178,33281,33470,33542,33494,33704,33734,33819,400485
446,Health and personal care stores,8546,8782,8991,8922,9076,9072,9134,9237,9190,9363,9414,9505,109232
447,Gasoline stations,15479,15457,15951,16252,16488,16352,16075,16066,16088,16360,16602,16759,193929
448,Clothing and clothing access. stores,11105,11341,11376,11422,11504,11365,11316,11360,11534,11577,11318,11435,136653
451,"Sporting goods, hobby, musical instrument, and book stores",4600,4485,4548,4628,4432,4609,4655,4738,4690,4769,4692,4940,55786
722,Food services and drinking places,19564,19742,19862,19932,20094,19932,20145,20140,20397,20551,20789,20707,241855
