441,Motor vehicle and parts dealers,37621,36723,35955,38521,39006,38892,40290,40504,40203,40857,42077,42796,473445
442,Furniture and home furnishings stores,4637,4507,4463,4564,4642,4609,4640,4645,4640,4663,4693,4693,55396
443,Electronics and appliance stores,4395,4343,4383,4460,4485,4567,4642,4667,4729,4710,4741,4794,54916
444,Building mat. and garden equip. and supplies dealers,11333,11410,11184,11417,11720,11669,11781,11875,11786,11908,12297,12583,140963
445,Food and beverage stores,31045,31233,31058,31129,31164,31168,31349,31126,31201,31346,31363,31499,374681
446,Health and personal care stores,7518,7651,7605,7683,7666,7680,7756,7678,7772,7758,7784,7989,92540
447,Gasoline stations,13398,13596,13487,13539,13521,13461,13502,13372,13416,13755,13754,13627,162428
448,Clothing and clothing access. stores,10581,10150,9916,10257,10386,10411,10593,10406,10549,10449,10475,10442,124615
451,"Sporting goods, hobby, musical instrument, and book stores",3648,3585,3608,3749,3746,3702,3810,3804,3825,3817,3930,4018,45242
722,Food services and drinking places,17553,17478,17554,17770,17821,18030,17927,18201,18515,18199,18153,18238,215439
