441,Motor vehicle and parts dealers,66286,67320,67587,66876,65855,66654,66429,65792,68823,69812,70293,71614,813341
442,Furniture and home furnishings stores,6992,7145,7397,7321,7245,7227,7263,7333,7384,7303,7385,7530,87525
443,Electronics and appliance stores,8218,8347,8442,8529,8416,8430,8557,8615,8493,8795,8638,8462,101942
444,Building mat. and garden equip. and supplies dealers,21484,21193,21863,22066,22324,22720,22761,22786,22637,23242,22904,23447,269427
445,Food and beverage stores,49682,50070,50075,50805,50427,50940,50948,51177,51047,51334,51435,51185,609125
446,Health and personal care stores,22579,22451,22584,22448,22585,22630,22728,22822,22718,22783,22782,22717,271827
447,Gasoline stations,41732,42294,43737,44604,45300,44698,44712,45159,45127,44846,45622,45243,533074
448,Clothing and clothing access. stores,18322,18532,18719,18923,18864,19179,18975,18911,19508,19086,19370,19526,227915
451,"Sporting goods, hobby, musical instrument, and book stores",6544,6620,6644,6637,6557,6592,6435,6655,6693,6535,6501,6327,78740
722,Food services and drinking places,39658,40382,40536,40624,41050,41540,41516,41718,42013,42204,42237,41864,495342
