441,Motor vehicle and parts dealers,75399,75841,75472,76205,77186,74794,74932,76549,77176,77617,75921,73345,910437
442,Furniture and home furnishings stores,9609,9369,9406,9430,9331,9264,9315,9300,9141,9142,9094,9009,111410
443,Electronics and appliance stores,9229,9123,9026,9008,9090,9023,9088,9274,9174,9293,9562,9368,110258
444,Building mat. and garden equip. and supplies dealers,27533,27088,27506,26610,27144,26638,26860,26625,26412,26248,26566,25634,320864
445,Food and beverage stores,44856,45274,45271,44988,45454,45627,45754,45643,45853,46113,46624,46831,548288
446,Health and personal care stores,19423,19401,19540,19572,19650,19880,19831,20014,20132,19988,19938,19825,237194
447,Gasoline stations,34244,34932,35999,36350,37996,37310,36963,37223,38210,39307,41985,41593,452112
448,Clothing and clothing access. stores,18493,18144,18643,18189,18545,18388,18522,18491,18412,18431,18759,18570,221587
451,"Sporting goods, hobby, musical instrument, and book stores",6489,6494,6779,6640,6805,6850,6936,6780,6749,6834,6940,6756,81052
722,Food services and drinking places,36435,36053,36579,36627,36732,37078,37272,37189,37427,37759,37727,38109,444987
