441,Motor vehicle and parts dealers,78622,81101,83884,85412,85579,85582,86008,86845,85954,86269,87305,86863,1019424
442,Furniture and home furnishings stores,7760,8048,8186,8297,8276,8296,8303,8447,8405,8416,8532,8641,99607
443,Electronics and appliance stores,8647,8677,8716,8696,8588,8526,8598,8684,8880,8835,9040,9025,104912
444,Building mat. and garden equip. and supplies dealers,25206,25157,25600,26530,26789,26971,26478,27015,26981,26924,27097,26792,317540
445,Food and beverage stores,54708,54681,54803,55143,55366,55863,56036,56183,56349,56620,56599,56932,669283
446,Health and personal care stores,24027,24158,24293,24553,24894,25076,25142,25254,25374,25289,25430,25588,299078
447,Gasoline stations,46564,46981,46219,46508,46103,45084,45127,45150,44682,43774,42780,39738,538710
448,Clothing and clothing access. stores,20475,20479,20594,21115,20686,20750,20866,20978,20779,21073,21297,21237,250329
451,"Sporting goods, hobby, musical instrument, and book stores",6485,6804,6811,6931,6913,6975,6962,7174,7075,7173,7139,7051,83493
722,Food services and drinking places,45966,46418,47057,47142,47492,47752,48065,48346,48929,49590,49598,50379,576734
