441,Motor vehicle and parts dealers,55494,54841,56135,57464,57882,59264,56320,54997,57196,59294,59817,60473,689177
442,Furniture and home furnishings stores,6377,6342,6340,6369,6359,6426,6447,6444,6419,6504,6666,6687,77380
443,Electronics and appliance stores,6776,6797,6788,6766,6829,6921,6960,7047,6954,6940,7000,6964,82742
444,Building mat. and garden equip. and supplies dealers,16436,16462,16511,16716,16741,16662,16819,16828,16972,17209,17341,17702,202399
445,Food and beverage stores,34126,34102,34275,34374,34534,34592,34856,34950,34916,35093,35140,35533,416491
446,Health and personal care stores,10382,10406,10393,10620,10645,10672,10828,11019,10985,11106,11232,11311,129599
447,Gasoline stations,16225,16054,15703,15798,16057,15933,16087,15851,15812,15948,16014,16399,191881
448,Clothing and clothing access. stores,12154,12199,12164,12459,12304,12447,12559,12460,12180,12540,12736,12746,148948
451,"Sporting goods, hobby, musical instrument, and book stores",4834,5027,5008,5036,4986,5083,5032,5057,5047,5108,5093,5154,60465
722,Food services and drinking places,21921,22132,22251,22353,22436,22634,22570,22743,22830,23066,23157,23351,271444
