441,Motor vehicle and parts dealers,73834,72206,71774,70052,69143,67161,64397,64985,62549,56599,54984,54123,781807
442,Furniture and home furnishings stores,8873,8594,8631,8606,8587,8473,8369,8154,7722,7735,7640,7460,98844
443,Electronics and appliance stores,9175,9196,9171,9286,9530,9305,9329,9201,8814,8732,8737,8351,108827
444,Building mat. and garden equip. and supplies dealers,25721,25659,25456,25292,25650,25700,25897,25329,25217,24568,23196,22909,300594
445,Food and beverage stores,46862,46707,46883,47356,47355,47568,47845,47988,47740,47703,47363,46942,568312
446,Health and personal care stores,20120,20279,20288,20172,20536,20497,20640,20620,20654,20659,20789,20682,245936
447,Gasoline stations,42423,42504,43044,42933,44344,46547,46813,45645,45777,40584,31776,27999,500389
448,Clothing and clothing access. stores,18542,18280,18338,18384,18642,18708,18635,18524,17560,17317,17173,16868,216971
451,"Sporting goods, hobby, musical instrument, and book stores",6818,6751,6733,6809,6949,6879,6858,6931,6536,6426,6431,6470,80591
722,Food services and drinking places,37824,37249,37552,37729,38089,38144,38267,38239,38386,38120,38018,38066,455683
