441,Motor vehicle and parts dealers,60535,61260,61641,62150,63211,63452,64509,65713,65150,64519,66269,65909,764318
442,Furniture and home furnishings stores,6617,6767,6831,6794,6884,6986,6954,7147,7292,7324,7272,7246,84114
443,Electronics and appliance stores,7000,7024,7116,7195,7230,7286,7378,7281,7410,7400,7350,7498,87168
444,Building mat. and garden equip. and supplies dealers,17732,17943,17760,17791,17914,17969,18183,18341,18175,18606,18944,19125,218483
445,Food and beverage stores,35447,35707,35652,36013,36060,35872,36126,36117,36411,36271,36300,37665,433641
446,Health and personal care stores,11415,11498,11595,11619,11741,11837,11857,11848,11993,12155,12258,12801,142617
447,Gasoline stations,16394,16309,16529,17115,17186,17070,17704,18135,18339,18632,18992,20095,212500
448,Clothing and clothing access. stores,12897,12920,13075,13139,13373,13373,13270,13404,13381,13400,13416,13573,159221
451,"Sporting goods, hobby, musical instrument, and book stores",5122,5292,5273,5277,5328,5367,5326,5290,5385,5373,5414,5455,63902
722,Food services and drinking places,22871,23270,23250,23440,23500,23546,23508,23664,23836,24265,24421,24378,283949
