441,Motor vehicle and parts dealers,42660,43685,44475,45072,44098,44541,44477,45232,46314,47041,47203,46941,541739
442,Furniture and home furnishings stores,4571,4775,4910,4916,4971,5018,5046,5165,5177,5260,5199,5254,60262
443,Electronics and appliance stores,4837,4949,5052,5090,5185,5313,5330,5411,5508,5635,5753,5834,63897
444,Building mat. and garden equip. and supplies dealers,12316,12233,12767,13076,13033,12987,13130,13224,13375,13550,13384,13981,157056
445,Food and beverage stores,31468,31688,31700,31899,31858,32123,31964,32222,32401,32196,32370,32294,384183
446,Health and personal care stores,7865,7729,7911,7838,7955,8014,8084,8126,8190,8214,8190,8287,96403
447,Gasoline stations,13656,13875,13911,13867,13773,14059,14322,14685,14649,14709,14878,14885,171269
448,Clothing and clothing access. stores,10450,10587,10806,10554,10451,10612,10672,10839,10674,11000,10983,10952,128580
451,"Sporting goods, hobby, musical instrument, and book stores",3981,4095,4131,4035,4119,4135,4111,4249,4306,4347,4221,4255,49985
722,Food services and drinking places,17624,18425,18813,18533,18600,18889,18962,18868,18978,19010,19028,19178,224908
