441,Motor vehicle and parts dealers,67679,69085,68433,65812,65781,66638,65205,65311,66850,66208,64645,63524,795171
442,Furniture and home furnishings stores,7484,7548,7599,7729,7673,7593,7748,7682,7665,7737,7580,7160,91198
443,Electronics and appliance stores,7605,7674,7652,7813,7611,7435,7397,7440,7588,7416,7392,7346,90369
444,Building mat. and garden equip. and supplies dealers,19613,19193,20175,18986,18941,18878,18982,18951,18926,18965,18689,19356,229655
445,Food and beverage stores,35613,35980,36559,37008,36717,37175,37038,37110,37308,37476,37700,38033,443717
446,Health and personal care stores,12381,12386,12580,12733,12814,12864,12967,13034,13233,13302,13340,13527,155161
447,Gasoline stations,19358,20214,20819,19907,20242,20885,20905,20574,21327,21412,21906,22124,249673
448,Clothing and clothing access. stores,13301,13532,13818,13801,14027,13864,13722,14072,14366,14231,14294,14084,167112
451,"Sporting goods, hobby, musical instrument, and book stores",5232,5541,5635,5649,5757,5686,5800,5633,5728,5626,5615,5601,67503
722,Food services and drinking places,24608,24887,25367,25215,25193,25262,25454,25342,25711,25706,25698,25133,303576
