441,Motor vehicle and parts dealers,76757,74108,74609,74898,74081,75369,75964,75187,74579,75447,76064,75438,902501
442,Furniture and home furnishings stores,9561,9439,9431,9402,9368,9485,9442,9422,9549,9375,9311,9334,113119
443,Electronics and appliance stores,9395,9101,9185,9165,9132,9130,9126,9124,9158,8953,9158,9478,110105
444,Building mat. and garden equip. and supplies dealers,29686,29479,29289,28905,27864,27339,27327,27358,26994,27161,26647,27100,335149
445,Food and beverage stores,42681,43379,43233,43269,43654,43782,43827,44160,43846,44542,44572,44730,525675
446,Health and personal care stores,18000,18124,18222,18294,18466,18584,18640,18757,18933,19044,19276,19385,223725
447,Gasoline stations,34298,34174,34195,35646,36159,36228,36963,37696,34935,32912,33322,34895,421423
448,Clothing and clothing access. stores,17331,17384,17385,17542,17492,17701,17691,17635,18256,18126,17910,18497,212950
451,"Sporting goods, hobby, musical instrument, and book stores",6735,6629,6610,6580,6503,6524,6461,6412,6690,6589,6461,6566,78760
722,Food services and drinking places,34983,34535,34796,34862,34910,34695,34802,35367,35725,35784,35923,36881,423263
