441,Motor vehicle and parts dealers,92466,94522,92472,93273,93363,93812,95319,95667,96275,96440,96066,98489,1138164
442,Furniture and home furnishings stores,9110,9153,9082,9101,9130,9280,9214,9199,9444,9261,9222,9119,110315
443,Electronics and appliance stores,8332,8448,8289,8293,8349,8335,8398,8517,8207,8097,7919,8110,99294
444,Building mat. and garden equip. and supplies dealers,29042,29080,29809,28848,28366,29150,28914,28860,29026,29134,29339,29384,348952
445,Food and beverage stores,57530,57559,57058,57699,57921,58301,57979,58236,58474,58745,58819,58943,697264
446,Health and personal care stores,26840,27344,27211,27426,27350,27567,27519,27371,27404,26558,26756,26890,326236
447,Gasoline stations,33428,31844,33034,33935,34692,35668,35309,34430,35271,36158,35911,37553,417233
448,Clothing and clothing access. stores,21212,21828,21399,21341,21501,21584,21406,21731,21770,21561,21464,21742,258539
451,"Sporting goods, hobby, musical instrument, and book stores",7340,7320,7306,7231,7288,7582,7214,7050,7066,7090,6962,7077,86526
722,Food services and drinking places,53176,54270,53894,54182,54206,54300,54339,54763,55359,55292,56290,55337,655408
