441,Motor vehicle and parts dealers,65926,66188,65671,66933,67039,66710,66067,66350,63929,80455,72413,68220,815901
442,Furniture and home furnishings stores,7764,7611,7549,7560,7559,7613,7671,7628,7419,7543,7694,7869,91480
443,Electronics and appliance stores,7376,7334,7267,7212,7135,7246,7298,7276,7141,7237,7662,7825,88009
444,Building mat. and garden equip. and supplies dealers,19248,19698,19562,20373,20147,19900,19838,19920,19664,20054,19982,20120,238506
445,Food and beverage stores,37903,38252,38133,38369,38439,38569,38506,38738,38832,38944,39161,38996,462842
446,Health and personal care stores,13413,13582,13650,13643,13812,13843,13879,14004,13894,14298,14280,14350,166648
447,Gasoline stations,21931,21615,20652,21618,22628,21928,20686,20878,21336,20033,19245,18950,251500
448,Clothing and clothing access. stores,14135,14166,13801,14217,13950,13804,13994,14171,13286,13973,13970,14126,167593
451,"Sporting goods, hobby, musical instrument, and book stores",5386,5715,5723,5658,5679,5621,5703,5775,5672,5798,6066,5797,68593
722,Food services and drinking places,26180,26069,26122,26045,26278,26379,26507,26853,26239,26541,26597,27156,316966
