NAICS_Code,NAICS,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year,,retail,eCommerce,year
441,Motor vehicle and parts dealers,56920,55856,60953,61823,61617,61478,62510,62551,63136,64805,65498,65244,742391,2010,,,,
443,Electronics and appliance stores,8232,8482,8122,8289,8366,8492,8361,8329,8383,8265,8114,8285,99720,2010,,,,
445,Food and beverage stores,47877,48705,48274,48205,48202,47914,47919,48258,48631,48575,49136,49157,580853,2010,,,,
451,"Sporting goods, hobby, musical instrument, and book stores",6555,6404,6494,6445,6460,6504,6495,6532,6462,6533,6671,6584,78139,2010,,,,
441,Motor vehicle and parts dealers,66286,67320,67587,66876,65855,66654,66429,65792,68823,69812,70293,71614,813341,2011,,,,
443,Electronics and appliance stores,8218,8347,8442,8529,8416,8430,8557,8615,8493,8795,8638,8462,101942,2011,,,,
445,Food and beverage stores,49682,50070,50075,50805,50427,50940,50948,51177,51047,51334,51435,51185,609125,2011,,,,
451,"Sporting goods, hobby, musical instrument, and book stores",6544,6620,6644,6637,6557,6592,6435,6655,6693,6535,6501,6327,78740,2011,,,,
441,Motor vehicle and parts dealers,71646,72589,72775,72871,73572,72581,73004,73859,75275,74807,75763,76859,885601,2012,,,,
443,Electronics and appliance stores,8513,8529,8698,8559,8704,8668,8750,8656,8619,8350,8660,8800,103506,2012,,,,
445,Food and beverage stores,51540,51662,52112,52299,52284,52212,52276,52295,52506,52860,52750,52593,627389,2012,,,,
451,"Sporting goods, hobby, musical instrument, and book stores",6625,6748,6902,6859,6877,6797,6798,6692,6677,6695,6681,6790,81141,2012,,,,
441,Motor vehicle and parts dealers,77647,78801,77922,78227,79398,81090,81458,81154,79638,81123,81678,80982,959118,2013,,,,
443,Electronics and appliance stores,8828,8904,8674,8741,8746,8760,8708,8710,8654,8771,8651,8608,104755,2013,,,,
445,Food and beverage stores,52646,53203,53071,52682,53195,53155,53553,53665,53741,53867,53945,54524,641247,2013,,,,
451,"Sporting goods, hobby, musical instrument, and book stores",7037,7024,6900,6812,6866,6916,6940,6777,6880,6871,6895,6871,82789,2013,,,,
441,Motor vehicle and parts dealers,78622,81101,83884,85412,85579,85582,86008,86845,85954,86269,87305,86863,1019424,2014,,,,
443,Electronics and appliance stores,8647,8677,8716,8696,8588,8526,8598,8684,8880,8835,9040,9025,104912,2014,,,,
445,Food and beverage stores,54708,54681,54803,55143,55366,55863,56036,56183,56349,56620,56599,56932,669283,2014,,,,
451,"Sporting goods, hobby, musical instrument, and book stores",6485,6804,6811,6931,6913,6975,6962,7174,7075,7173,7139,7051,83493,2014,,,,
441,Motor vehicle and parts dealers,88050,86646,90091,90759,91620,91594,91574,92241,92696,92334,92913,92561,1093079,2015,,,,
443,Electronics and appliance stores,8876,8737,8543,8630,8694,8848,8659,8652,8685,8612,8453,8470,103859,2015,,,,
445,Food and beverage stores,56911,56975,56967,56862,56943,57209,57369,57410,57254,57018,57450,57311,685679,2015,,,,
451,"Sporting goods, hobby, musical instrument, and book stores",6934,6967,7063,7071,7111,7101,7152,7189,7225,7129,7254,7401,85597,2015,,,,
